OrderLineID;OrderID;ProductID;Quantity;UnitPrice;DiscountRate;LineAmount
OL000001_1;O000001;P0464;4;326.65;0.2;1045.28
OL000001_2;O000001;P0002;5;76.91;0.1;346.09
OL000001_3;O000001;P0245;4;434.35;0.1;1563.66
OL000002_1;O000002;P0042;4;611.56;0.05;2323.93
OL000002_2;O000002;P0332;2;423.42;0;846.84
OL000002_3;O000002;P0284;1;324.52;0.1;292.07
OL000003_1;O000003;P0406;5;488.43;0.05;2320.04
OL000004_1;O000004;P0120;1;48.04;0;48.04
OL000004_2;O000004;P0377;2;626.3;0.1;1127.34
OL000004_3;O000004;P0335;1;207.42;0.1;186.68
OL000004_4;O000004;P0465;5;313.22;0;1566.1
OL000004_5;O000004;P0125;6;526.37;0;3158.22
OL000005_1;O000005;P0167;1;472.6;0.2;378.08
OL000005_2;O000005;P0280;2;15.68;0.05;29.79
OL000005_3;O000005;P0429;2;719.05;0;1438.1
OL000005_4;O000005;P0304;2;613.75;0.05;1166.12
OL000006_1;O000006;P0362;6;577.1;0.2;2770.08
OL000007_1;O000007;P0487;1;584.31;0.05;555.09
OL000007_2;O000007;P0179;4;27.31;0;109.24
OL000007_3;O000007;P0286;2;660.37;0;1320.74
OL000007_4;O000007;P0061;5;489.47;0;2447.35
OL000007_5;O000007;P0317;3;746.16;0.2;1790.78
OL000008_1;O000008;P0129;3;240.53;0.2;577.27
OL000008_2;O000008;P0413;4;204.12;0;816.48
OL000008_3;O000008;P0054;6;790.64;0;4743.84
OL000008_4;O000008;P0474;5;195.84;0;979.2
OL000009_1;O000009;P0117;1;485.89;0;485.89
OL000009_2;O000009;P0378;4;189.11;0;756.44
OL000009_3;O000009;P0193;2;522.59;0;1045.18
OL000010_1;O000010;P0355;5;666.77;0;3333.85
OL000011_1;O000011;P0045;4;679.26;0.2;2173.63
OL000011_2;O000011;P0251;2;130.39;0.2;208.62
OL000012_1;O000012;P0021;4;281.03;0.2;899.3
OL000013_1;O000013;P0083;6;798.25;0.1;4310.55
OL000013_2;O000013;P0440;5;714.73;0.2;2858.92
OL000013_3;O000013;P0013;4;326.64;0.1;1175.9
OL000014_1;O000014;P0358;5;435.78;0.2;1743.12
OL000014_2;O000014;P0295;2;451.32;0;902.64
OL000014_3;O000014;P0318;3;546.87;0;1640.61
OL000015_1;O000015;P0071;3;564.18;0;1692.54
OL000015_2;O000015;P0277;1;348.88;0.1;313.99
OL000016_1;O000016;P0270;1;141.41;0.1;127.27
OL000016_2;O000016;P0364;5;219.99;0.2;879.96
OL000016_3;O000016;P0461;3;707.1;0.1;1909.17
OL000016_4;O000016;P0318;3;546.87;0;1640.61
OL000016_5;O000016;P0097;4;304.07;0;1216.28
OL000017_1;O000017;P0151;4;107.86;0.2;345.15
OL000018_1;O000018;P0336;6;199.25;0.05;1135.72
OL000018_2;O000018;P0249;5;271.37;0.2;1085.48
OL000018_3;O000018;P0432;5;789.16;0.1;3551.22
OL000019_1;O000019;P0474;2;195.84;0.2;313.34
OL000019_2;O000019;P0147;2;331.66;0;663.32
OL000019_3;O000019;P0430;6;558.75;0;3352.5
OL000019_4;O000019;P0083;2;798.25;0;1596.5
OL000019_5;O000019;P0022;3;271.48;0.2;651.55
OL000020_1;O000020;P0208;4;744.87;0;2979.48
OL000021_1;O000021;P0174;6;431.69;0;2590.14
OL000021_2;O000021;P0375;4;325.84;0;1303.36
OL000021_3;O000021;P0072;6;579.4;0.2;2781.12
OL000021_4;O000021;P0060;3;519.25;0;1557.75
OL000022_1;O000022;P0435;4;639.42;0;2557.68
OL000022_2;O000022;P0500;5;420.76;0.1;1893.42
OL000022_3;O000022;P0100;4;146.52;0.05;556.78
OL000022_4;O000022;P0309;5;494.09;0.2;1976.36
OL000022_5;O000022;P0484;1;383.24;0.05;364.08
OL000023_1;O000023;P0412;4;461.83;0.05;1754.95
OL000023_2;O000023;P0084;6;437.82;0.1;2364.23
OL000023_3;O000023;P0374;4;119.34;0;477.36
OL000023_4;O000023;P0428;5;454.12;0.2;1816.48
OL000024_1;O000024;P0387;2;305.32;0;610.64
OL000024_2;O000024;P0096;4;120.44;0.05;457.67
OL000024_3;O000024;P0284;4;324.52;0;1298.08
OL000024_4;O000024;P0422;3;152.75;0.2;366.6
OL000024_5;O000024;P0156;4;484.9;0.2;1551.68
OL000025_1;O000025;P0015;1;787.05;0.05;747.7
OL000025_2;O000025;P0253;1;375.65;0.2;300.52
OL000026_1;O000026;P0237;6;39.93;0;239.58
OL000026_2;O000026;P0183;2;223.28;0;446.56
OL000026_3;O000026;P0140;3;470.31;0.1;1269.84
OL000027_1;O000027;P0050;5;746.85;0.2;2987.4
OL000027_2;O000027;P0181;2;101.47;0;202.94
OL000027_3;O000027;P0071;5;564.18;0.05;2679.85
OL000028_1;O000028;P0434;5;193.85;0.2;775.4
OL000028_2;O000028;P0360;1;44.58;0.1;40.12
OL000028_3;O000028;P0236;1;664.71;0;664.71
OL000028_4;O000028;P0420;2;145.0;0;290.0
OL000028_5;O000028;P0246;3;725.45;0.05;2067.53
OL000029_1;O000029;P0218;6;124.81;0;748.86
OL000030_1;O000030;P0095;6;329.47;0.05;1877.98
OL000030_2;O000030;P0015;1;787.05;0;787.05
OL000031_1;O000031;P0462;5;388.14;0;1940.7
OL000031_2;O000031;P0499;6;87.64;0;525.84
OL000032_1;O000032;P0064;4;459.02;0;1836.08
OL000032_2;O000032;P0267;2;103.48;0.1;186.26
OL000032_3;O000032;P0391;3;426.17;0.05;1214.58
OL000033_1;O000033;P0097;1;304.07;0.1;273.66
OL000033_2;O000033;P0481;6;741.99;0.05;4229.34
OL000033_3;O000033;P0092;1;376.04;0.1;338.44
OL000033_4;O000033;P0345;1;590.9;0.1;531.81
OL000034_1;O000034;P0372;4;248.45;0.05;944.11
OL000034_2;O000034;P0392;6;498.19;0.2;2391.31
OL000034_3;O000034;P0304;3;613.75;0.1;1657.12
OL000034_4;O000034;P0183;4;223.28;0.2;714.5
OL000035_1;O000035;P0256;6;439.34;0;2636.04
OL000036_1;O000036;P0176;5;407.64;0.2;1630.56
OL000036_2;O000036;P0010;1;584.5;0.1;526.05
OL000036_3;O000036;P0451;1;615.28;0.1;553.75
OL000036_4;O000036;P0231;3;283.35;0.1;765.05
OL000036_5;O000036;P0227;4;743.62;0;2974.48
OL000037_1;O000037;P0260;1;193.08;0.1;173.77
OL000037_2;O000037;P0135;4;684.61;0.2;2190.75
OL000038_1;O000038;P0177;3;239.75;0.1;647.33
OL000038_2;O000038;P0180;1;515.85;0;515.85
OL000038_3;O000038;P0127;2;461.7;0.05;877.23
OL000038_4;O000038;P0304;1;613.75;0;613.75
OL000039_1;O000039;P0194;5;677.04;0.1;3046.68
OL000039_2;O000039;P0166;5;185.58;0;927.9
OL000039_3;O000039;P0414;4;357.25;0;1429.0
OL000040_1;O000040;P0025;3;604.34;0.2;1450.42
OL000040_2;O000040;P0206;2;290.56;0.2;464.9
OL000040_3;O000040;P0381;1;126.93;0.2;101.54
OL000041_1;O000041;P0103;4;795.33;0.1;2863.19
