OrderID;OrderDate_raw;CustomerID;ChannelID;OrderStatus;ShippingCityID;PromoCode
O000001;2025-05-11;C1228;CH1;Shipped;CITY01;
O000002;2021-09-06;C1290;CH5;Pending;CITY11;
O000003;2023-09-24;C1043;CH4;Cancelled;CITY10;
O000004;23/11/2022;C1021;CH4;Completed;CITY08;
O000005;02/08/2025;C1054;CH1;Shipped;CITY04;
O000006;01/10/2021;C1051;CH5;Shipped;CITY02;
O000007;2023-12-08;C1230;CH4;Cancelled;CITY10;RAMADAN
O000008;20/06/2025;C1076;CH4;Shipped;CITY01;
O000009;01/17/2025;C1227;CH5;Returned;CITY06;RAMADAN
O000010;2021-12-31;C1198;CH3;Cancelled;CITY05;
O000011;2022-03-27;C1151;CH5;Cancelled;CITY03;
O000012;05/23/2022;C1167;CH4;Returned;CITY10;
O000013;18/02/2024;C1006;CH4;Cancelled;CITY02;
O000014;2024-07-07;C1237;CH1;Completed;CITY01;
O000015;2023-08-12;C1316;CH1;Pending;CITY02;
O000016;10/19/2022;C1180;CH3;Returned;CITY06;
O000017;12/08/2021;C1084;CH3;Completed;CITY04;
O000018;21/08/2022;C1096;CH1;Completed;CITY09;
O000019;2022-04-10;C1247;CH3;Pending;CITY05;BF
O000020;25/09/2024;C1162;CH3;Cancelled;CITY09;
O000021;2024-08-18;C1151;CH4;Pending;CITY10;RAMADAN
O000022;2021-04-23;C1311;CH2;Returned;CITY05;
O000023;06/08/2022;C1176;CH3;Pending;CITY04;BF
O000024;2021-05-16;C1302;CH4; Completed;CITY07;
O000025;2024-08-04;C1325;CH4;Completed;CITY03;BF
O000026;2024-11-22;C1061;CH3;Returned;CITY03;
O000027;19/11/2023;C1099;CH2;Completed;CITY06;
O000028;07/29/2021;C1111;CH2;Returned;CITY09;
O000029;2021-02-28;C1060;CH2;Cancelled;CITY05;
O000030;2021-03-30;C1033;CH3;Completed;CITY10;
O000031;11/01/2023;C1291;CH1;Completed;CITY04;RAMADAN
O000032;06/20/2023;C1344;CH1;Cancelled;CITY09;
O000033;2022-08-04;C1233;CH5;Pending;CITY09;
O000034;2024-11-24;C1302;CH1;Cancelled ;CITY10;
O000035;2021-08-10;C1062;CH3;Shipped;CITY01;WELCOME
O000036;06/04/2025;C1039;CH5;Shipped;CITY08;
O000037;2025-04-14;C1056;CH5;Shipped;CITY08;
O000038;24/04/2024;C1023;CH2;Pending;CITY11;
O000039;2021-03-18;C1235;CH4;Returned;CITY12;
O000040;2021-12-08;C1314;CH3;Pending;CITY02;
O000041;2023-05-25;C1107;CH3;Completed;CITY05;BF
O000042;09/15/2024;C1239;CH3;Returned;CITY07;
O000043;2022-10-15;C1032;CH2;Shipped;CITY05;
O000044;18/02/2022;C1081;CH3; Cancelled;CITY11;
O000045;14/04/2023;C1186;CH1;Shipped;CITY04;
O000046;10/23/2021;C1054;CH2;Cancelled;CITY10;
O000047;2021-02-13;C1330;CH5;Completed;CITY01;
O000048;09/02/2022;C1107;CH2;Shipped;CITY11;BF
O000049;22/12/2022;C1215;CH5;Returned;CITY01;RAMADAN
O000050;10/01/2025;C1304;CH4;Pending;CITY05;RAMADAN
O000051;18/02/2024;C1331;CH5;Cancelled;CITY12;
O000052;2022-08-13;C1253;CH4;Cancelled;CITY05;
O000053;2024-11-07;C1108;CH4;Shipped;CITY09;
O000054;2022-09-12;C1202;CH3;Cancelled;CITY03;
O000055;2022-08-03;C1134;CH5;Pending;CITY06;BF
O000056;2021-03-25;C1226;CH3;Returned;CITY12;
O000057;04/10/2024;C1002;CH5;Returned;CITY08;WELCOME
O000058;01/08/2023;C1337;CH4;Shipped;CITY01;SUMMER
O000059;05/07/2022;C1204;CH1;Completed;CITY07;SUMMER
O000060;2023-11-16;C1102;CH4;Shipped;CITY10;
O000061;19/08/2022;C1239;CH4;Completed;CITY03;SUMMER
O000062;24/04/2025;C1257;CH1;Completed;CITY03;
O000063;2025-11-21;C1344;CH1;Shipped;CITY01;RAMADAN
O000064;30/07/2025;C1008;CH2;Completed;CITY04;BF
O000065;08/27/2022;C1291;CH4;Completed;CITY12;BF
O000066;15/05/2023;C1295;CH3;Returned ;CITY08;
O000067;2024-05-18;C1336;CH4;Cancelled;CITY07;SUMMER
O000068;2021-07-26;C1212;CH4;Pending;CITY01;SUMMER
O000069;2022-06-13;C1174;CH3;Completed;CITY03;
O000070;14/08/2025;C1287;CH1;Returned;CITY04;
O000071;2025-04-25;C1003;CH2;Shipped;CITY05;SUMMER
O000072;2021-10-26;C1005;CH5;COMPLETED;CITY03;
O000073;2025-01-17;C1160;CH3;Completed;CITY03;
O000074;17/03/2021;C1275;CH3;Shipped;CITY09;
O000075;2022-05-10;C1155;CH4;Returned;CITY05;
O000076;07/08/2025;C1297;CH5;Returned;CITY05;
O000077;2025-12-25;C1066;CH4;Cancelled;CITY07;
O000078;23/11/2024;C1108;CH4; Shipped;CITY06;WELCOME
O000079;2021-04-10;C1156;CH3;Cancelled;CITY02;
O000080;04/10/2025;C1070;CH5;Shipped;CITY12;
O000081;11/08/2024;C1286;CH1;Cancelled;CITY01;
O000082;2023-04-03;C1301;CH1;Shipped;CITY03;
O000083;2022-01-07;C1013;CH1;Pending;CITY06;
O000084;2021-08-24;C1137;CH1;Pending;CITY01;BF
O000085;2023-07-03;C1042;CH5;Cancelled;CITY03;
O000086;2021-04-04;C1082;CH5;Returned ;CITY02;RAMADAN
O000087;2022-12-01;C1107;CH4;Returned;CITY01;
O000088;09/01/2024;C1015;CH4;Completed;CITY10;
O000089;2024-10-25;C1183;CH2;Completed;CITY12;
O000090;09/13/2024;C1289;CH5;Returned;CITY02;
O000091;2023-06-05;C1208;CH3;Completed;CITY09;WELCOME
O000092;02/08/2022;C1084;CH3;Pending ;CITY08;BF
O000093;2024-03-31;C1063;CH1;Completed;CITY12;WELCOME
O000094;20/02/2024;C1026;CH3;Shipped;CITY04;
O000095;29/04/2024;C1099;CH5;Cancelled;CITY08;
O000096;10/29/2021;C1240;CH3;Returned;CITY09;
O000097;2022-01-23;C1341;CH4;Shipped;CITY10;SUMMER
O000098;2022-02-25;C1204;CH2;Completed;CITY09;
O000099;01/01/2022;C1100;CH1;Cancelled;CITY11;
O000100;2025-12-04;C1033;CH1;Cancelled;CITY04;
O000101;13/07/2024;C1143;CH2;Returned;CITY12;WELCOME
O000102;2024-07-30;C1298;CH1;Cancelled;CITY04;
O000103;2023-05-23;C1230;CH4;Shipped;CITY05;
O000104;24/01/2024;C1102;CH3;Cancelled;CITY11;
O000105;04/10/2022;C1107;CH4;Cancelled;CITY08;
O000106;07/02/2023;C1071;CH5;Cancelled;CITY11;
O000107;03/12/2023;C1032;CH5;Shipped;CITY08;
O000108;2024-09-12;C1268;CH1;Shipped ;CITY06;
O000109;09/27/2022;C1221;CH4;Cancelled;CITY09;
O000110;2023-08-01;C1236;CH5;Completed;CITY08;SUMMER
O000111;06/05/2022;C1080;CH3;Returned;CITY12;RAMADAN
O000112;2023-02-20;C1175;CH4;Cancelled;CITY12;
O000113;31/12/2023;C1200;CH2;Completed;CITY03;
O000114;2023-06-29;C1026;CH5;Completed ;CITY04;SUMMER
O000115;21/06/2025;C1340;CH2;Cancelled ;CITY06;
O000116;2024-09-01;C1161;CH1;Shipped;CITY05;
O000117;05/31/2022;C1048;CH5;Pending;CITY12;
O000118;25/09/2022;C1121;CH4;Cancelled;CITY08;
O000119;2025-03-18;C1012;CH2;Pending;CITY11;RAMADAN
O000120;23/07/2024;C1072;CH2;CANCELLED;CITY04;
O000121;2021-06-13;C1184;CH4;Shipped;CITY10;BF
O000122;2021-05-28;C1170;CH2;Shipped;CITY09;
O000123;2025-04-29;C1178;CH5;Shipped;CITY11;BF
O000124;06/05/2022;C1126;CH5;Returned;CITY02;WELCOME
O000125;2025-03-22;C1045;CH1;Returned;CITY05;RAMADAN
O000126;02/10/2022;C1249;CH2;Returned;CITY04;
O000127;13/02/2023;C1063;CH3;Completed;CITY08;
O000128;2024-05-22;C1219;CH3;Pending;CITY04;SUMMER
O000129;01/25/2023;C1231;CH5;Shipped;CITY11;
O000130;2024-09-10;C1051;CH4;Pending;CITY09;
O000131;05/08/2021;C1222;CH1;Cancelled;CITY05;RAMADAN
O000132;2025-01-09;C1195;CH5;Shipped;CITY05;
O000133;10/01/2025;C1198;CH4;Pending;CITY03;
O000134;15/07/2022;C1293;CH4;Cancelled;CITY01;
O000135;2025-07-28;C1337;CH2;Completed;CITY08;SUMMER
O000136;03/28/2024;C1070;CH4;Shipped;CITY12;RAMADAN
O000137;2024-10-23;C1086;CH1;Completed;CITY01;WELCOME
O000138;2025-05-08;C1343;CH1;Shipped;CITY11;
O000139;2022-07-15;C1048;CH5;Cancelled;CITY05;
O000140;24/03/2025;C1106;CH1;Cancelled;CITY09;BF
O000141;23/06/2021;C1063;CH5;Pending;CITY11;
O000142;2024-05-26;C1275;CH5;Cancelled;CITY04;
O000143;2023-02-21;C1332;CH2;Shipped;CITY12;
O000144;05/10/2023;C1078;CH3;Shipped;CITY05;
O000145;26/12/2021;C1269;CH3;Returned;CITY06;
O000146;09/08/2024;C1064;CH2;Shipped;CITY12;SUMMER
O000147;2023-12-03;C1117;CH3;Completed;CITY02;
O000148;2024-10-18;C1260;CH2;Shipped;CITY09;
O000149;2025-09-16;C1068;CH5;Pending;CITY03;SUMMER
O000150;2024-08-09;C1263;CH1;Shipped;CITY06;WELCOME
O000151;04/22/2023;C1063;CH4;Completed;CITY08;
O000152;08/15/2021;C1097;CH3;Completed;CITY01;RAMADAN
O000153;12/06/2025;C1010;CH2;Cancelled;CITY04;WELCOME
O000154;05/26/2022;C1143;CH1;Pending;CITY07;
O000155;04/02/2023;C1019;CH3;Cancelled;CITY04;WELCOME
O000156;2022-12-20;C1214;CH2;Pending;CITY01;
O000157;2025-03-02;C1301;CH5;Returned;CITY10;
O000158;03/06/2021;C1279;CH5;Pending;CITY04;
O000159;2024-07-13;C1060;CH4;Completed;CITY09;
O000160;2024-02-26;C1199;CH4;Returned;CITY10;
O000161;08/30/2022;C1137;CH5;Completed;CITY05;WELCOME
O000162;2025-01-18;C1068;CH4;Returned;CITY01;
O000163;10/27/2022;C1137;CH2;Returned;CITY03;
O000164;08/02/2025;C1201;CH5;Cancelled ;CITY08;
O000165;10/06/2025;C1054;CH5;Pending;CITY08;
O000166;30/07/2021;C1278;CH3;Completed;CITY01;
O000167;2023-01-02;C1039;CH5;Pending;CITY10;
O000168;04/06/2025;C1001;CH2;Cancelled;CITY08;
O000169;02/24/2023;C1214;CH5;Shipped;CITY04;
O000170;2025-10-05;C1071;CH3;Shipped;CITY07;
O000171;19/09/2024;C1297;CH1;Shipped;CITY03;
O000172;2023-06-29;C1330;CH1;Pending;CITY01;
O000173;03/02/2025;C1108;CH4;Returned ;CITY12;
O000174;2024-08-17;C1217;CH2;Pending;CITY06;
O000175;08/05/2022;C1137;CH1;Returned;CITY08;
O000176;2025-03-20;C1200;CH3;Cancelled;CITY12;
O000177;11/01/2025;C1118;CH2;Cancelled;CITY09;
O000178;2021-07-19;C1007;CH2;Pending;CITY02;
O000179;2021-03-23;C1186;CH3;Shipped;CITY03;
O000180;19/08/2022;C1192;CH2;Returned;CITY08;
O000181;2022-03-12;C1243;CH1;Pending;CITY08;RAMADAN
O000182;2022-07-07;C1129;CH2;Completed;CITY05;BF
O000183;2025-08-13;C1005;CH5;Returned;CITY10;
