ProductID;ProductName;CategoryID;BrandID;SupplierID;UnitCost;UnitPrice;IsActive
P0001;Calme Pro;CAT01;BR02;SUP12;251.63;481.57;Yes
P0002;Voisin Max;CAT01;BR05;SUP14;177.57;76.91;N
P0003;Dent Basic;CAT07;BR03;SUP05;124.67;222.04;N
P0004;Dire Pro;CAT03;BR07;SUP09;192.39;392.54;Y
P0005;Beau Plus;CAT05;BR04;SUP16;269.24;164.48;Y
P0006;Loi Basic;CAT05;BR01;SUP13;152.84;499.95;Yes
P0007;Autre Max;CAT06;BR07;SUP20;65.58;263.33;N
P0008;En Max;CAT06;BR03;SUP13;436.08;240.24;No
P0009;Révéler Basic;CAT06;BR07;SUP09;368.34;320.42;Y
P0010;Vérité Basic;CAT03;BR11;SUP18;16.98;584.5;N
P0011;Reconnaître Max;CAT05;BR14;SUP03;369.44;638.57;No
P0012;Terrible Max;CAT03;BR11;SUP10;112.7;530.34;No
P0013;Gouvernement Max;CAT02;BR08;SUP20;218.26;326.64;No
P0014;Impossible Pro;CAT06;BR12;SUP18;269.25;732.38;Y
P0015;Répandre Basic;CAT06;BR03;SUP20;24.71;787.05;No
P0016;Inviter Plus;CAT07;BR02;SUP01;48.88;185.38;N
P0017;Étroit Max;CAT06;BR07;SUP15;348.69;474.99;N
P0018;Que Plus;CAT01;BR08;SUP04;136.47;737.23;Y
P0019;Muet Pro;CAT03;BR06;SUP10;157.66;629.57;No
P0020;Nommer Plus;CAT08;BR02;SUP15;326.29;367.43;Y
P0021;Relever Plus;CAT01;BR13;SUP04;15.05;281.03;Y
P0022;Disposer Basic;CAT04;BR09;SUP06;250.6;271.48;No
P0023;Aucun Max;CAT04;BR13;SUP13;285.24;157.25;No
P0024;Fortune Max;CAT01;BR12;SUP20;397.98;365.16;No
P0025;Forme Max;CAT01;BR12;SUP07;96.57;604.34;Y
P0026;Mentir Pro;CAT03;BR06;SUP11;92.7;100.02;No
P0027;L'un Plus;CAT07;BR10;SUP13;266.22;284.86;No
P0028;Tantôt Basic;CAT05;BR15;SUP20;267.62;540.97;Yes
P0029;Tendre Pro;CAT04;BR05;SUP04;86.45;557.81;No
P0030;Intelligence Max;CAT03;BR10;SUP13;193.25;394.47;N
P0031;Disparaître Basic;CAT08;BR05;SUP05;88.26;675.17;Y
P0032;Attirer Plus;CAT01;BR08;SUP05;91.83;313.32;No
P0033;Ensemble Max;CAT08;BR07;SUP15;222.47;75.31;Y
P0034;Cour Basic;CAT05;BR01;SUP09;105.06;238.05;No
P0035;Valeur Max;CAT02;BR10;SUP04;124.21;439.05;Yes
P0036;Rappeler Pro;CAT08;BR09;SUP07;445.45;90.91;N
P0037;Hors Plus;CAT01;BR08;SUP09;160.12;655.22;No
P0038;On Pro;CAT04;BR04;SUP19;311.66;690.23;No
P0039;Aucun Basic;CAT03;BR13;SUP07;367.02;646.3;Yes
P0040;Raison Plus;CAT03;BR06;SUP10;133.75;221.2;Y
P0041;Saison Basic;CAT07;BR15;SUP02;446.66;694.97;N
P0042;Tranquille Basic;CAT04;BR03;SUP11;373.67;611.56;No
P0043;Direction Max;CAT03;BR10;SUP09;284.38;306.39;Y
P0044;Pierre Pro;CAT07;BR09;SUP09;314.14;703.08;No
P0045;Précipiter Max;CAT06;BR10;SUP01;391.66;679.26;Y
P0046;Travers Max;CAT06;BR14;SUP03;359.08;324.2;No
P0047;Construire Basic;CAT08;BR05;SUP11;373.61;276.83;N
P0048;Dormir Max;CAT06;BR15;SUP02;25.44;504.68;No
P0049;Chaîne Pro;CAT02;BR15;SUP06;201.37;10.53;No
P0050;Pour Basic;CAT03;BR15;SUP10;75.74;746.85;Yes
P0051;Campagne Pro;CAT06;BR05;SUP03;170.47;724.0;N
P0052;Premier Pro;CAT07;BR11;SUP10;328.06;606.63;No
P0053;Mémoire Pro;CAT02;BR01;SUP07;217.18;114.83;N
P0054;Lisser Max;CAT01;BR01;SUP11;368.61;790.64;No
P0055;Cruel Basic;CAT08;BR02;SUP08;175.47;587.3;Y
P0056;Nombre Pro;CAT06;BR06;SUP10;66.02;621.03;N
P0057;Froid Basic;CAT02;BR09;SUP19;8.77;523.52;No
P0058;Bien Plus;CAT04;BR11;SUP05;414.35;496.7;No
P0059;Lien Basic;CAT02;BR15;SUP04;67.31;107.29;No
P0060;Million Plus;CAT07;BR06;SUP05;115.26;519.25;N
P0061;Espace Plus;CAT01;BR14;SUP10;96.42;489.47;N
P0062;Simplement Max;CAT05;BR11;SUP02;353.79;637.08;N
P0063;Davantage Max;CAT07;BR02;SUP08;227.31;479.2;Y
P0064;Mal Plus;CAT06;BR03;SUP13;388.06;459.02;Yes
P0065;Chiffre Basic;CAT08;BR13;SUP03;12.43;63.35;Yes
P0066;Plan Basic;CAT01;BR15;SUP02;427.16;324.4;Yes
P0067;Général Max;CAT07;BR12;SUP13;41.68;433.89;N
P0068;Devoir Plus;CAT02;BR05;SUP03;232.53;170.53;N
P0069;Imposer Plus;CAT07;BR10;SUP03;143.03;355.61;N
P0070;Ombre Pro;CAT04;BR02;SUP14;56.61;493.71;Y
P0071;Absence Plus;CAT03;BR02;SUP01;320.02;564.18;N
P0072;Croire Max;CAT06;BR09;SUP17;353.43;579.4;N
P0073;Ligne Plus;CAT03;BR12;SUP09;331.16;103.26;Y
P0074;Seigneur Plus;CAT07;BR05;SUP17;33.42;572.74;Y
P0075;Souvenir Max;CAT08;BR09;SUP12;29.67;688.89;N
P0076;Pur Plus;CAT03;BR05;SUP04;402.95;542.56;Y
P0077;Avenir Basic;CAT01;BR01;SUP01;113.83;382.69;No
P0078;Cercle Basic;CAT03;BR15;SUP02;251.02;732.02;No
P0079;Véritable Basic;CAT06;BR04;SUP14;412.56;262.75;Y
P0080;Haute Plus;CAT02;BR09;SUP02;84.81;645.43;Y
P0081;Français Max;CAT02;BR15;SUP15;390.38;621.09;Yes
P0082;Mal Plus;CAT02;BR09;SUP15;8.55;168.53;Yes
P0083;Goût Basic;CAT08;BR06;SUP19;437.48;798.25;N
P0084;Cheveu Basic;CAT03;BR01;SUP14;15.64;437.82;Y
P0085;Quatre Plus;CAT01;BR13;SUP13;382.81;584.5;Y
