ReturnID;OrderID;ReturnDate_FR;Reason;RefundAmount
R000004;O000004;19/07/2024;Damaged;4105.37
R000005;O000005;15/07/2022;Wrong Size;655.54
R000012;O000012;24/12/2023;Customer Change;592.29
R000029;O000029;06/05/2025;Customer Change;97.17
R000036;O000036;15/02/2024;Late Delivery;1386.09
R000055;O000055;11/01/2022;Damaged;708.78
R000085;O000085;15/09/2023;Late Delivery;2591.93
R000091;O000091;03/02/2022;LATE DELIVERY;1731.2
R000107;O000107;12/11/2024;Other;156.06
R000178;O000178;26/12/2024;Customer Change;1102.57
R000187;O000187;30/04/2023; Damaged;1236.83
R000202;O000202;02/08/2023;Wrong Size;94.22
R000204;O000204;26/07/2021;Late Delivery;780.53
R000237;O000237;01/06/2024;Wrong Size;268.23
R000260;O000260;18/08/2023;Other;644.41
R000270;O000270;06/09/2025;Other;2544.8
R000311;O000311;04/07/2025;Customer Change;1073.45
R000313;O000313;22/02/2022;Late Delivery;1758.4
R000319;O000319;28/12/2023;Late Delivery;4418.11
R000322;O000322;29/08/2021;Other;1612.71
R000334;O000334;26/03/2025;Late Delivery;1669.1
R000344;O000344;21/04/2025;Customer Change;462.11
R000362;O000362;27/12/2021;Wrong Size;850.37
R000381;O000381;17/11/2024;Wrong Size;75.89
R000408;O000408;12/06/2021;Other;1535.06
R000411;O000411;02/08/2023;Other;1868.49
R000412;O000412;23/01/2023;Late Delivery;1021.63
R000427;O000427;24/05/2025;Wrong Size;1394.23
R000447;O000447;01/02/2022;Wrong Size;1788.31
R000470;O000470;14/07/2023;Late Delivery;1465.03
R000508;O000508;08/11/2024;Wrong Size;1999.45
R000512;O000512;02/04/2021;Late Delivery;3759.54
R000516;O000516;17/03/2024;Wrong Size;1549.28
R000517;O000517;13/08/2025;Other;6188.03
R000519;O000519;11/05/2024;Other ;4140.33
R000520;O000520;01/05/2021; Damaged;2008.37
R000524;O000524;03/03/2024;Customer Change;1854.19
R000579;O000579;15/04/2023;Customer Change;2239.35
R000586;O000586;14/04/2021;Late Delivery;5188.28
R000587;O000587;30/12/2021;Other;1186.97
R000609;O000609;06/08/2021;Other;1308.65
R000618;O000618;16/05/2022;Late Delivery;512.36
R000628;O000628;09/02/2022;Late Delivery;1289.45
R000667;O000667;04/05/2024;Other;984.39
R000694;O000694;29/11/2023;Customer Change;262.28
R000697;O000697;21/02/2022;Late Delivery;2147.45
R000709;O000709;05/06/2024;Other;1788.5
R000729;O000729;27/05/2021;Customer Change;722.83
R000753;O000753;23/06/2025;Damaged;293.9
R000761;O000761;10/01/2025;Other;3180.59
R000776;O000776;10/01/2022;Wrong Size;441.44
R000782;O000782;11/12/2022;Other;967.17
R000802;O000802;07/01/2025;Customer Change;3508.94
R000808;O000808;18/11/2023;Other;1995.33
R000825;O000825;25/09/2023;Customer Change;1160.34
R000837;O000837;02/01/2022;Late Delivery;490.16
R000842;O000842;18/04/2023; Customer Change;2505.19
R000849;O000849;27/05/2025;Damaged;3079.21
R000883;O000883;28/09/2021;Wrong Size ;1022.52
R000916;O000916;01/02/2025;Customer Change;1672.77
R000918;O000918;02/03/2021;Damaged;2315.83
R000940;O000940;17/03/2025;Late Delivery;660.79
R000956;O000956;14/05/2024;Wrong Size;5755.57
R000970;O000970;30/01/2025;Other;1079.01
R000973;O000973;12/06/2021;Wrong Size;2609.08
R000980;O000980;18/05/2022;Late Delivery;2507.62
R000982;O000982;11/01/2025;Wrong Size;3295.72
R000985;O000985;29/12/2022;Other;1136.01
R001016;O001016;28/07/2021;Late Delivery;4396.76
R001041;O001041;02/04/2023;Damaged;3428.44
R001048;O001048;31/12/2023;Late Delivery;513.26
R001068;O001068;28/05/2024;Other;1389.63
R001074;O001074;08/03/2021;Wrong Size;5311.14
R001077;O001077;03/04/2022;Late Delivery;1331.21
R001088;O001088;22/06/2023;Late Delivery;2776.21
R001089;O001089;28/05/2021;Customer Change;2185.1
R001098;O001098;24/02/2025;Other;650.52
R001103;O001103;25/02/2024;Customer Change;5587.92
R001107;O001107;26/03/2023; Wrong Size;1414.03
R001112;O001112;08/02/2021;CUSTOMER CHANGE;601.55
R001124;O001124;04/09/2023;Other;4517.52
R001129;O001129;14/02/2025;Customer Change;1164.0
R001138;O001138;04/03/2023;Customer Change;329.21
R001141;O001141;19/08/2023;Damaged;2308.81
R001147;O001147;05/04/2025;Damaged;1441.23
R001177;O001177;09/12/2022;Other;1032.98
R001189;O001189;14/02/2024;Damaged;6046.65
R001197;O001197;31/08/2023;Late Delivery;1787.27
R001210;O001210;16/07/2021;Other;1550.73
R001215;O001215;08/11/2022;Late Delivery;516.81
R001217;O001217;24/08/2025;Late Delivery;477.44
R001219;O001219;31/12/2022;Late Delivery;674.31
R001220;O001220;08/12/2024;Damaged;577.81
R001230;O001230;09/05/2021;Late Delivery;3151.23
R001250;O001250;15/09/2025;Other;769.1
R001252;O001252;25/08/2021;Late Delivery;2549.07
R001256;O001256;16/04/2022;Other;775.78
R001278;O001278;25/03/2024;Other;2931.16
R001289;O001289;04/03/2025;Other;265.21
R001303;O001303;25/09/2025;Other;2336.39
R001314;O001314;31/12/2021;Damaged;1373.25
R001330;O001330;26/08/2022;Damaged;112.89
R001394;O001394;27/09/2021;Other;2112.19
R001402;O001402;22/10/2021;Customer Change;170.45
R001414;O001414;30/10/2025;Other;1956.21
R001443;O001443;04/05/2021;Wrong Size;2584.59
R001469;O001469;11/12/2025;Wrong Size;5133.21
R001482;O001482;10/04/2023;Late Delivery;2262.56
R001544;O001544;10/01/2025; Damaged;1137.89
R001565;O001565;15/05/2025;Damaged;2576.14
R001576;O001576;10/08/2022;Damaged;1705.53
R001580;O001580;01/04/2024;Other;1578.3
R001614;O001614;24/03/2025;Customer Change;1007.97
R001622;O001622;01/05/2024;Wrong Size;1072.07
R001628;O001628;28/05/2022;Other;292.31
R001637;O001637;11/04/2021;Damaged ;2785.95
R001640;O001640;06/06/2023;Late Delivery;1646.45
R001663;O001663;10/12/2023;Customer Change;2456.26
R001680;O001680;21/09/2025;Late Delivery;976.54
R001682;O001682;27/05/2023;Other;2759.92
R001697;O001697;07/08/2023;Wrong Size;2984.87
R001704;O001704;22/01/2025;Damaged;1438.12
R001710;O001710;30/04/2021;Late Delivery;1968.07
R001725;O001725;03/10/2024;Customer Change;3565.94
R001737;O001737;04/01/2026;Late Delivery;335.91
R001738;O001738;04/05/2021;Late Delivery;1521.15
R001755;O001755;28/08/2025;Damaged;476.54
R001759;O001759;10/07/2024;Other;3916.91
R001766;O001766;06/06/2023;Customer Change;214.36
R001769;O001769;27/09/2024;Damaged;2112.55
R001773;O001773;14/11/2025;Other;1435.54
R001789;O001789;27/12/2025;Late Delivery;410.96
R001801;O001801;06/04/2023;Wrong Size;938.6
R001812;O001812;04/12/2021;Wrong Size;2974.35
R001819;O001819;11/01/2021;Damaged;914.43
R001821;O001821;08/09/2021;Other;628.16
R001874;O001874;17/07/2021;Wrong Size;1439.2
R001877;O001877;05/06/2023;Wrong Size;973.6
R001879;O001879;30/04/2023;Wrong Size;5746.79
R001905;O001905;04/11/2024; Other;1031.89
R001933;O001933;18/05/2024;Customer Change;1237.49
R001937;O001937;10/08/2024;Customer Change;692.66
R001941;O001941;23/03/2023;Customer Change;718.6
R001953;O001953;25/08/2021;Damaged;573.44
R001958;O001958;04/04/2023;Late Delivery;1790.59
R001969;O001969;03/11/2024;Damaged;489.28
R001979;O001979;07/01/2026;Wrong Size;192.09
R002010;O002010;25/05/2021;Customer Change;2033.3
R002049;O002049;02/03/2023;Customer Change;738.28
R002060;O002060;11/01/2025;Wrong Size;296.49
R002064;O002064;03/11/2021;Wrong Size;128.45
R002068;O002068;04/07/2021;Wrong Size;1158.53
R002080;O002080;07/09/2022;Other;1181.42
R002094;O002094;20/06/2021;Other;2546.57
R002148;O002148;23/05/2023;Damaged;419.82
R002161;O002161;05/02/2022;Late Delivery;359.48
R002166;O002166;09/01/2022;Wrong Size;685.63
R002172;O002172;22/03/2024;Other;92.49
R002173;O002173;10/01/2022;Wrong Size;746.46
R002184;O002184;02/06/2025;Damaged;2613.55
R002187;O002187;11/04/2021;Wrong Size;785.96
R002196;O002196;27/01/2022;Late Delivery;1434.93
R002209;O002209;28/10/2022;Other ;5065.77
R002240;O002240;01/04/2021;Damaged ;1509.64
R002247;O002247;08/02/2021;Other;933.87
R002249;O002249;27/08/2022;Other;1087.92
R002254;O002254;20/04/2021;Customer Change;4131.17
R002284;O002284;10/01/2021;Customer Change;166.02
R002329;O002329;23/08/2024;Other;1570.96
R002331;O002331;10/05/2021;Customer Change;2677.09
R002334;O002334;09/09/2024;Other;2737.97
R002339;O002339;10/08/2022;Customer Change;2987.6
R002358;O002358;07/10/2025;Customer Change;93.3
R002369;O002369;23/05/2023;Wrong Size;66.66
R002387;O002387;11/09/2025; Customer Change;968.67
R002392;O002392;09/01/2026;Customer Change;1243.38
R002408;O002408;05/09/2025;Damaged;1361.89
R002410;O002410;17/04/2022;Other;1832.12
R002411;O002411;04/11/2021;Wrong Size;1247.47
R002431;O002431;05/10/2023;Other;1036.89
R002438;O002438;19/06/2023;Damaged;842.98
R002474;O002474;16/05/2021;Customer Change;355.97
R002481;O002481;23/01/2022;Other;702.08
