OrderID;Gender;ChannelName;PaymentMethod;YearNumber;MonthNumber;TotalQuantity;AvgDiscount;NumberOfProducts;NumberOfCategories;TotalRevenue
O000001;Female;Store;Cash;2025;5;13;0,133333333333333;3;2;2955,03
O000002;Female;Marketplace;Wallet;2021;9;7;0,05;3;2;3462,84
O000003;Female;Call Center;Wallet;2023;9;5;0,05;1;1;2320,04
O000004;Unknown;Call Center;Wallet;2022;11;15;0,04;5;4;6086,38
O000005;Female;Store;COD;2025;8;7;0,075;4;3;3012,09
O000006;Female;Marketplace;Wallet;2021;10;6;0,2;1;1;2770,08
O000007;Male;Call Center;Card;2023;12;15;0,05;5;4;6223,2
O000008;Male;Call Center;Wallet;2025;6;18;0,05;4;3;7116,79
O000009;Female;Marketplace;Cash;2025;1;7;0;3;1;2287,51
O000010;Unknown;Mobile App;Wallet;2021;12;5;0;1;1;3333,85
O000011;Male;Marketplace;Bank Transfer;2022;3;6;0,2;2;1;2382,25
O000012;Male;Call Center;Cash;2022;5;4;0,2;1;1;899,3
O000013;Female;Call Center;Wallet;2024;2;15;0,133333333333333;3;3;8345,37
O000014;Unknown;Store;Bank Transfer;2024;7;10;0,0666666666666667;3;3;4286,37
O000015;Unknown;Store;COD;2023;8;4;0,05;2;2;2006,53
O000016;Male;Mobile App;Card;2022;10;16;0,08;5;4;5773,29
O000017;Unknown;Mobile App;Bank Transfer;2021;8;4;0,2;1;1;345,15
O000018;Female;Store;Card;2022;8;16;0,116666666666667;3;2;5772,42
O000019;Male;Mobile App;Bank Transfer;2022;4;15;0,08;5;3;6577,21
O000020;Unknown;Mobile App;Card;2024;9;4;0;1;1;2979,48
O000021;Male;Call Center;Card;2024;8;19;0,05;4;3;8232,37
O000022;Female;Web;Wallet;2021;4;19;0,08;5;5;7348,32
O000023;Female;Mobile App;Bank Transfer;2022;8;19;0,0875;4;4;6413,02
O000024;Male;Call Center;Cash;2021;5;17;0,09;5;4;4284,67
O000025;Male;Call Center;Wallet;2024;8;2;0,125;2;1;1048,22
O000026;Female;Mobile App;Cash;2024;11;11;0,0333333333333333;3;2;1955,98
O000027;Female;Web;Wallet;2023;11;12;0,0833333333333333;3;2;5870,19
O000028;Female;Web;Wallet;2021;7;12;0,07;5;4;3837,76
O000029;Unknown;Web;Cash;2021;2;6;0;1;1;748,86
O000030;Male;Mobile App;COD;2021;3;7;0,025;2;2;2665,03
O000031;Male;Store;Wallet;2023;1;11;0;2;2;2466,54
